,450a,550 'w': 'g',550a,550 'w': 'h',555a,555 'w': 'h',555 'w': 'g'
Savoia-Marchetti S.M.79 Sparviero (samolot bombowy),"['Savoia-Marchetti S.M.79 Sparviero', 'S.M.79 Sparviero', 'Sparviero']",['Samoloty bombowe'],,,,,
Junkers Ju 87 Stuka (samolot bombowy),"['Junkers Ju 87 Stuka', 'Ju 87', 'Junkers 87', 'Stuka', 'Stukas']",['Samoloty bombowe'],,,,,
Avro Lancaster (samolot bombowy),"['Avro Lancaster', 'Lancaster (samolot)']",['Samoloty bombowe'],,,,,
Messerschmitt Bf 110,"['Bf 110', 'Me Bf 110', 'Me 110', 'Messerschmitt 110']",['Samoloty myśliwskie'],,,,,
Messerschmitt Bf 108 Taifun,"['Bf 108', 'Me Bf 108', 'Me 108 Taifun', 'Messerschmitt 108 Taifun', 'Taifun']",['Samoloty wojskowe'],,,,,
Współpraca cywilno-wojskowa,"['Civil-military relations', 'Civil-military cooperation', 'Civil-Military Co-operation (CIMIC)', 'CIMIC']",,"['Klęski elementarne', 'Logistyka wojskowa', 'Wojna', 'Wojsko', 'Współpraca wojskowa']",,,,
Tirpitz (okręt),,['Okręty wojenne'],,,,,
Samowolne oddalenie żołnierza,['Oddalenie samowolne żołnierza'],['Przestępstwo'],['Prawo karne wojskowe'],,,,
Kitkun Bay (okręt),['USS Kitkun Bay'],['Lotniskowce'],,,,,
Obrona Poczty Polskiej w Gdańsku (1939),['Obrona 1939 r. Poczty Polskiej w Gdańsku'],['Kampania wrześniowa (1939)'],,,,,
Mikojan MiG (samoloty),['Mig'],['Samoloty myśliwskie'],,"['Mikojan MiG-1', 'Mikojan MiG-3', 'Mikojan MiG-19', 'Mikojan MiG-21', 'Mikojan MiG-23', 'Mikojan MiG-27 (samolot wojskowy)', 'Mikojan MiG-25', 'Mikojan MiG-29', 'Mikojan MiG-31', 'Mikojan MiG-15']",,,
Wojownicy,,['Grupy społeczne'],"['Ludy pierwotne', 'Rycerstwo', 'Rycerze', 'Samuraje', 'Wojna']",,,,
Galery (okręty),,['Statki'],,['Triery'],,,
Siły specjalnego przeznaczenia,['Special forces (Military science) '],,"['Działania specjalne (wojsko)', 'Wojsko']",['Jednostki antyterrorystyczne'],,,
Heinkel He 100,"['He 100', 'Heinkel 100']",['Samoloty myśliwskie'],,,,,
Heinkel He 112,"['He 112', 'Heinkel 112']",['Samoloty myśliwskie'],,,,,
PZL P.7 (samolot myśliwski),"['PZL P.7', 'P.7']",['Samoloty myśliwskie'],,,,,
Bioterroryzm,"['Terroryzm biologiczny', 'Bioterrorism']",['Terroryzm'],['Broń biologiczna'],,,,
Twierdza Osowiec,"['Osowiec, Twierdza']",['Twierdze i fortyfikacje'],,,,,
Grupy bojowe,['Grupy operacyjne'],['Wojsko'],,,,,
Piechota zmechanizowana,['Piechota pancerna'],"['Piechota', 'Wojska pancerne']",,,,,
Administracja wojskowa,,['Wojsko'],"['Dowodzenie (wojsko)', 'Pracownicy cywilni wojska', 'Prawo wojskowe', 'Sądownictwo wojskowe', 'Wojskowy oddział gospodarczy (WOG)']",,,,
Technika wojskowa,"['Military technology', 'Technika militarna', 'Technika obronna', 'Technika wojenna', 'Technologie militarne', 'Technologie obronne', 'Technologie wojenne', 'Technologie wojskowe']",['Technika'],"['Inżynieria wojskowa', 'Nauki o obronności', 'Sprzęt wojskowy', 'Towary i technologie podwójnego zastosowania', 'Wojsko']",,,,
Koszary,,['Budownictwo wojskowe'],,"['Koszary Arcyksięcia Rudolfa (Twierdza Kraków)', 'Koszary kawalerii (Kobierzyn ; Twierdza Kraków)', 'Koszary w Bochni', 'Koszary w Chełmnie', 'Koszary w Garwolinie', 'Koszary w Gdańsku', 'Koszary w Zambrowie', 'Koszary Wellingtona (Londyn)', 'Koszary Zawadzkiego (Kamieniec Podolski)']",,,
Kusza,"['Balestra', 'Samostrzał', 'Crossbows']",['Broń miotająca'],['Łucznictwo'],,,,
Łuk (broń),['Bow and arrow'],"['Broń miotająca', 'Broń myśliwska']","['Łucznictwo', 'Myślistwo łucznicze']",,,,
Operacje pokojowe,"['Działania na rzecz pokoju', 'Międzynarodowe operacje pokojowe', 'Operacje militarne inne niż wojna', 'Operacje pozawojenne', 'Operacje wsparcia pokoju', 'Operacje wymuszania pokoju', 'Peace operations']",,"['AMISOM (operacja pokojowa)', 'EUBAM Libya (operacja pokojowa)', 'EUCAP Somalia (operacja pokojowa)', 'EUFOR Althea (operacja pokojowa)', 'EUFOR Concordia (operacja pokojowa)', 'EUFOR Libya (operacja pokojowa)', 'EUFOR RCA (operacja pokojowa)', 'EUFOR RD Congo (operacja pokojowa)', 'EUFOR Tchad-RCA  (operacja pokojowa)', 'Operacja pokojowa ONZ w Libanie (1978- )', 'Operacja ""Przywrócić nadzieję""', 'Operacje reagowania kryzysowego', 'Peacebuilding', 'Pokój', 'Pomoc zagraniczna', 'Siły stabilizacyjne w Iraku', 'Stacjonowanie wojsk obcych', 'Wojsko']",['Regionalna Misja Wsparcia dla Wysp Salomona (2003-2017)'],,,
Odmowa odbycia służby wojskowej,['Odmowa służby wojskowej'],['Prawa człowieka'],"['Obdżektor', 'Służba wojskowa']",,,,
Wywiad lekarski,"['Anamneza', 'Anamnezja', 'Badanie podmiotowe (med.)', 'Wywiad anamnestyczny', 'Wywiad chorobowy', 'Wywiad rodzinny (med.)', 'Zbieranie wywiadu lekarskiego', 'Medical History Taking']",['Diagnostyka medyczna'],"['Badanie psychiatryczne', 'Chorzy', 'Leczenie', 'Ustrukturalizowany Wywiad do Badania Zespołów Ryzyka Psychozy']",,,,
Gry wojenne,,,"['Ćwiczenia wojskowe', 'Strategia', 'Taktyka']",,,,['Gry strategiczne']
Czekan,['Nadziak'],['Broń obuchowa'],,,,,
Kopia (broń),,['Broń drzewcowa'],,,,,
Lanca,['Lances '],['Broń drzewcowa'],,,,,
Ceremoniał wojskowy,,"['Kultura organizacyjna', 'Rytuały i ceremonie']",['Uroczystości wojskowe'],['Apel poległych'],,['Sygnały wojskowe'],
Jelec,"['Garda', 'Sword guards']",['Części broni'],['Broń sieczna'],,,,
Bezpieczeństwo ekonomiczne państwa,"['Bezpieczeństwo gospodarcze państwa', 'Gospodarcze bezpieczeństwo państwa']",['Bezpieczeństwo narodowe'],"['Afera Orlenu (2002)', 'Gospodarka narodowa', 'Wojna ekonomiczna']","['Bezpieczeństwo energetyczne państwa', 'Bezpieczeństwo żywnościowe państwa']",,,
Bezpieczeństwo energetyczne państwa,['Bezpieczeństwo dostaw energii'],['Bezpieczeństwo ekonomiczne państwa'],"['Demand Side Response (program)', 'Energetyka', 'Krajowy System Elektroenergetyczny', 'Polityka energetyczna']",,,,
Bezpieczeństwo żywnościowe państwa,,"['Bezpieczeństwo ekonomiczne państwa', 'Bezpieczeństwo żywnościowe']",,,,,
Zrzuty lotnicze,"['Zrzut lotniczy', 'Airdrop']",,"['Lotnictwo wojskowe', 'Operacja ""Frantic"" (1944)', 'Ratownictwo']",,,,
Deutschland (okręt),,['Okręty wojenne'],,,,,
Nauczyciele przysposobienia wojskowego,,['Nauczyciele'],"['Nauczyciele edukacji dla bezpieczeństwa', 'Przysposobienie wojskowe']",,,,
Potencjał wojenny,"['Hard power', 'Moc obronna państwa', 'Potencjał militarny', 'Potencjał obronny', 'Twarda siła', 'Wystarczalność obronna']",,"['Ekonomika wojenna', 'Przemysł wojenny', 'Rezerwy osobowe wojska', 'Siła państwa']",,,,
Obrona przeciwrakietowa,,['Obrona przeciwlotnicza'],"['Broń rakietowa', 'Strategic Arms Limitation Talks (SALT I)', 'System obrony powietrznej ""Narew""', 'System obrony powietrznej ""Wisła""']",['Ballistic Missile Defense'],,,
Noże,"['Nóż', 'Knife', 'Knives']",,"['Broń sieczna', 'Ostrzenie (proces)', 'Rany kłute', 'Sztućce']","['Nóż myśliwski', 'Nóż szturmowy', 'Scyzoryk']",,,
Fortyfikacje ziemne,,['Twierdze i fortyfikacje'],"['Budownictwo z ziemi', 'Okopy Lubomirskiego (Warszawa)']",['Reduta Ordona (Warszawa ; dzieło fortyfikacyjne)'],,,
Obszar Warowny Śląsk,"['Obszar Warowny ""Śląsk""', 'Śląsk, Obszar Warowny']",['Twierdze i fortyfikacje'],,['Schron bojowy Sowiniec (Obszar Warowny Śląsk)'],,,
Tryskacz (pożarnictwo),"['Główka tryskaczowa', 'Tryskacze (pożarnictwo)']",['Sprzęt ratowniczo-gaśniczy'],['Instalacje tryskaczowe'],,,,
Orden Svâtogo Velikomučenika i Pobedonosca Georgiâ,"['Cesarski Order Wojenny Świętego Jerzego Męczennika i Zwycięzcy', 'Georgievskij Krest', 'Imperatorskij Voennyj Orden Svâtogo Velikomučenika i Pobedonosca Georgiâ', 'Krzyż Świętego Jerzego (ros.)', 'Orden Svâtogo Georgiâ', 'Order Świętego Jerzego (ros.)', 'Soldatskij Georgievskij Krest', 'Soldatskij Georgij', 'Voennyj Orden Svâtogo Georgiâ']",['Ordery i odznaczenia'],,,,,
Broń bezodrzutowa,,['Broń palna'],,,,,
Bumerang,['Boomerangs '],"['Broń miotająca', 'Broń myśliwska']",,,,,
Przemysł zbrojeniowy,['Przemysł obronny'],['Przemysł wojenny'],"['Handel bronią', 'Program Wsparcia Bezpieczeństwa Regionu 2022 (ReSAP)', 'Rokita (Brożek ; ruiny fabryki)', 'Rzemiosło zbrojeniowe', 'Umowa offsetowa', 'Wyścig zbrojeń', 'Zbrojenia']",,,,
Balistyka wewnętrzna,,['Balistyka'],,,,,
Balistyka zewnętrzna,,['Balistyka'],,,,,
Lockheed P-38 Lightning,['P-38 Lightning'],['Samoloty myśliwskie'],,,,,
Artyleria forteczna,,['Artyleria'],"['Artyleria ciężka', 'Twierdze i fortyfikacje']",,,,
Ratownictwo wojskowe,"['Bojowe poszukiwanie i ratownictwo', 'Poszukiwanie i ratowanie (wojskowość)']",['Ratownictwo'],['Wojsko'],"['Ratownictwo taktyczne', 'Służba ratownictwa lotniczego']",,,
Wojska lądowe,"['Siły lądowe', 'Land forces']",['Wojsko'],,,,,
Miny przeciwpancerne,"['Miny przeciwburtowe', 'Miny przeciwczołgowe']","['Broń przeciwpancerna', 'Miny (ładunki wybuchowe)']",,,,,
Przeszkody przeciwpancerne,,,"['Broń przeciwpancerna', 'Inżynieria wojskowa']",,,,
Bezpieczeństwo biologiczne państwa,,['Bezpieczeństwo narodowe'],"['Biologia', 'Ochrona środowiska']",,,,
Umocnienia polowe,,['Fortyfikacje polowe'],,"['Obozy warowne', 'Szańce']",,,
Kasyna wojskowe,,"['Gastronomia', 'Kluby']",,,,,
Ochotnicza służba wojskowa,['Służba wojskowa ochotnicza'],['Służba wojskowa'],['Ochotnicy (wojsko)'],,,,
Ryzyko klęsk elementarnych,,['Ryzyko gospodarcze'],['Ubezpieczenia od klęsk żywiołowych'],"['Ryzyko powodziowe', 'Ryzyko pożarowe']",,,
Środki ochrony indywidualnej,"['Personal protective equipment', 'Środki ochrony osobistej', 'Sprzęt ochrony osobistej']",,['BHP'],"['Kamizelka kuloodporna', 'Kamizelka ratunkowa', 'Kaski dla dzieci', 'Kaski motocyklowe', 'Kaski sportowe', 'Kremy ochronne (BHP)', 'Naparstek', 'Ochraniacz na zęby', 'Okulary ochronne', 'Ochronnik słuchu', 'Odzież robocza']",,,
Służby specjalne,,,"['Inwigilacja', 'Prowokacja policyjna', 'Tajni współpracownicy służb specjalnych']","['Służba bezpieczeństwa', 'Wywiad']",,,
Tajni współpracownicy służb specjalnych,"['Konfidenci służb specjalnych', 'Konfidenci służby bezpieczeństwa', 'Tajni agenci służb specjalnych', 'Tajni agenci służby bezpieczeństwa', 'Tajni współpracownicy służby bezpieczeństwa']",,"['Agenci CIA', 'Agenci FBI', 'Postępowanie lustracyjne', 'Służby specjalne']",,,,
Antarès (okręt),,['Okręty wojenne'],,,,,
Derfflinger (okręt),,['Okręty wojenne'],,,,,
Wojska obrony terytorialnej,['Wojska OTK'],['Wojsko'],['Obrona terytorium kraju'],,,,
Exodus 1947 (statek),,,,,,,
Bezpieczeństwo osobiste,,['Bezpieczeństwo'],"['List żelazny', 'Poczucie bezpieczeństwa', 'Prawa człowieka']",,,,
Apel poległych,,['Ceremoniał wojskowy'],['Straty bojowe'],,,,
Policja drogowa,['Policja ruchu drogowego'],['Policja'],"['Bezpieczeństwo ruchu drogowego', 'Niezatrzymanie się do kontroli drogowej']",,,,
Policja wodna,,['Policja'],,,,,
Policja kryminalna,,['Policja'],['Kryminalistyka'],['Zespoły ds. przestępstw niewykrytych'],,,
Lexington (okręt),"['USS Lexington', 'CV-2']",['Okręty podwodne'],,,,,
Saratoga (okręt),"['USS Saratoga', 'CV-3']",['Lotniskowce'],,,,,
Krzyż Żelazny,['Eisernes Kreuz'],['Ordery i odznaczenia'],['Ritterkreuz des Eisernen Kreuzes'],,,,
Ceremoniał policyjny,,"['Kultura organizacyjna', 'Rytuały i ceremonie']",['Policja'],,,,
PZL.23 Karaś (samolot wojskowy),"['Karaś (samoloty)', 'PZL.23 Karaś', 'PZL.23 A', 'PZL.23 B', 'PZL P-23']",['Samoloty wojskowe'],,,,,
Karabin automatyczny,"['Karabin samoczynny', 'Karabin samopowtarzalny']",['Karabin'],,,,,
Tupolev Tu-22 (samolot bombowy),"['Tupolev Tu-22', 'Tu-22']",['Samoloty bombowe'],,,,,
Zapalnik,"['Detonators', 'Zapalniki']",['Amunicja'],,"['Spłonka', 'Zapalnik zbliżeniowy']",,,
Balony wojskowe,,['Balony'],['Lotnictwo wojskowe'],,,,
Działania w miastach (wojsko),"['Urban warfare', 'Walki uliczne']",['Sztuka wojenna'],,,,,
Koń wojskowy,"['Koń bojowy', 'War horses']",['Koń'],['Wojsko'],,,,
Mil Mi-14,['Mi-14'],['Śmigłowce wojskowe'],,,,,
Mil Mi-4,['Mi-4'],['Śmigłowce wojskowe'],,,,,
Consolidated PBY Catalina (wodnosamolot),"['Catalina', 'PBY Catalina']","['Samoloty wojskowe', 'Wodnosamolot']",,,,,
Mil Mi-24,['Mi-24'],['Śmigłowce wojskowe'],,,,,
Jakowlew Jak-9 (samolot myśliwski),"['Jakovlev Jak-9 (samolot myśliwski)', 'Jakovlev Jak-9P (samolot myśliwski)', 'Jakovlev Jak-9U (samolot myśliwski)', 'Jakowlew Jak-9P (samolot myśliwski)', 'Jakowlew Jak-9U (samolot myśliwski)', 'Jak-9 (samolot myśliwski)', 'Jak-9P (samolot myśliwski)', 'Jak-9U (samolot myśliwski)', 'Yak-9 (samolot myśliwski)', 'Yakovlev Yak-9 (samolot myśliwski)']",['Samoloty myśliwskie'],,,,,
Mil Mi-2,['Mi-2'],['Śmigłowce wojskowe'],,,,,
Strefy bezatomowe,,,"['Bezpieczeństwo międzynarodowe', 'Broń jądrowa', 'Plan Rapackiego (1957)', 'Rozbrojenie']",,,,
Samoloty sanitarne wojskowe,,['Samoloty wojskowe'],['Lotnictwo sanitarne'],,,,
Jakowlew Jak-40 (samolot pasażerski),"['Codling (samolot pasażerski)', 'Jakovlev Jak-40 (samolot pasażerski)', 'Jak-40 (samolot pasażerski)', 'Jak-40 Codling (samolot pasażerski)', 'Yak-40 (samolot pasażerski)', 'Yakovlev Yak-40 (samolot pasażerski)']",['Samoloty pasażerskie'],,,,,
Mosty wojskowe,,['Mosty'],['Inżynieria wojskowa'],,,,
Więziennictwo wojskowe,['Military prisons'],['Więziennictwo'],['Wojsko'],,,,
Mikojan MiG-15,['MiG-15'],['Mikojan MiG (samoloty)'],,,,,
Remizy strażackie,,,"['Budownictwo', 'Pożarnictwo']",['Dom Strażacki (Lublin)'],,,
Mil Mi-8,['Mi-8'],['Śmigłowce wojskowe'],,,,,
Antonow An-12 (samolot transportowy),"['An-12', 'Antonov An-12']",['Samoloty transportowe'],,,,,
Antonow An-26 (samolot transportowy),"['An-26', 'Antonov An-26']",['Samoloty transportowe'],,,,,
Tupolev SB (samolot bombowy),"['Tupolev SB', 'ANT-40', 'SB', 'SB-2', 'Tupolev ANT-40', 'Tupolev SB-2']",['Samoloty bombowe'],,,,,
Polikarpov R-5,"['Polikarpov R-5/R-Z', 'Polikarpov R-Z', 'R-5', 'R-Z']",['Samoloty wojskowe'],,,,,
Polikarpov I-15bis,['I-15bis'],['Samoloty myśliwskie'],,,,,
Triumf (wojskowość),"['Ovatio (wojskowość)', 'Pochód triumfalny', 'Procesja triumfalna', 'Triumphus curulis', 'Tryumf (wojskowość)']",,"['Obyczaje i zwyczaje', 'Święta']",,,,
Focke-Wulf Ta 152 (samolot myśliwski),"['Focke-Wulf 152', 'Fw 152', 'Focke-Wulf Ta 152']",['Samoloty myśliwskie'],,,,,
Focke-Wulf Ta 154 Moskito (samolot myśliwski),"['Focke-Wulf 154', 'Focke-Wulf Ta 154 Moskito', 'Fw 154 Moskito', 'Moskito']",['Samoloty myśliwskie'],,,,,
Służba wartownicza,['Guard duty'],['Wojsko'],,,,,
Atak (wojskowość),"['Szturm', 'Uderzenie bojowe']",['Taktyka'],['Oddział szturmowy (wojsko)'],,,,
PZL TS-11 Iskra (samolot szkolny),"['PZL TS-11 Iskra', 'TS-11 Iskra', 'Iskra (samolot)', 'PZL Iskra']",['Samoloty wojskowe szkolne'],,,,,
Jakowlew Jak-12 (samolot wojskowy),"['Jakovlev Jak-12 (samolot wojskowy)', 'Jak-12 (samolot wojskowy)', 'Yak-12 (samolot wojskowy)', 'Yakovlev Yak-12 (samolot wojskowy)']",['Samoloty wojskowe wielozadaniowe'],,,,,
Suchoj Su-20 (samolot wojskowy),"['Su-20 (samolot wojskowy)', 'S-20 (samolot wojskowy)', 'Sukhoi Su-20']",['Samoloty wojskowe'],,,,,
Nieuport (samoloty),,['Samoloty wojskowe'],,,,,
Kondor (okręt ; 1965-1985),['ORP Kondor'],['Okręty podwodne'],,,,,
Armaty czołgowe,,"['Armaty', 'Czołgi']",,,,,
Mitsubishi A5M Claude,"['A5M (samolot myśliwski)', 'Claude (samolot myśliwski)', 'Mitsubishi Claude']",['Samoloty myśliwskie'],,,,,
Jakowlew Jak-7 (samolot wojskowy),"['Jakovlev Jak-7 (samolot wojskowy)', 'Jak-7 (samolot wojskowy)', 'Yak-7 (samolot wojskowy)', 'Yakovlev Yak-7 (samolot wojskowy)']","['Samoloty myśliwskie', 'Samoloty wojskowe szkolne']",,,,,
Bell UH-1 Iroquois,"['Bell UH-1 Huey', 'Huey', 'Iroquois', 'UH-1 Huey', 'UH-1 Iroquois']",['Śmigłowce wojskowe'],,,,,
Chance Vought F6F Hellcat,"['F6F  Hellcat', 'Hellcat']",['Samoloty myśliwskie'],,,,,
Macchi C. 202 Folgore (samolot myśliwski),"['Folgore', 'Macchi C. 202', 'Macchi C. 202 Folgore', 'Samolot myśliwski Macchi C. 202 Folgore']",['Samoloty myśliwskie'],,,,,
Dassault Mirage III (samolot myśliwski),"['Mirage III', 'Mirage', 'Dassault Mirage III', 'Samolot myśliwski Dassault Mirage III']",['Samoloty myśliwskie'],,,,,
Obrona przeciwpancerna,,['Obrona terytorium kraju'],"['Broń przeciwpancerna', 'Wojska pancerne']",,,,
"Nautilus (okręt podwodny, SSN-571)","['SSN-571', 'USS Nautilus (SSN-571)']",['Okręty podwodne'],,,,,
Scharnhorst (okręt),,['Okręty wojenne'],,,,,
Giuseppe Garibaldi (pancernik),,['Okręty wojenne'],,,,,
Gneisenau (okręt),,['Okręty wojenne'],,,,,
Traktat o konwencjonalnych siłach zbrojnych w Europie (1990),"['CFE', 'Traktat CFE (1990)', 'Traktat o rozbrojeniu konwencjonalnym w Europie (1990)', 'Treaty on Conventional Armed Forces in Europe (1990)', 'Układ o redukcji sił konwencjonalnych w Europie (1990)', 'Układ w sprawie konwencjonalnych sił zbrojnych w Europie (1990)']",,,,,,['Umowa międzynarodowa']
qmail,,,,['Programy poczty elektronicznej'],,,
Boulton Paul Defiant,['Defiant'],['Samoloty myśliwskie'],,,,,
Bristol Bulldog,['Bulldog'],['Samoloty myśliwskie'],,,,,
Gloster Gauntlet,['Gauntlet'],['Samoloty myśliwskie'],,,,,
Tarcze,['Shields'],['Broń ochronna'],,,,,
Broń ochronna,"['Broń defensywna', 'Broń pasywna', 'Uzbrojenie defensywne', 'Uzbrojenie ochronne', 'Uzbrojenie pasywne', 'Armor']",['Broń'],,"['Hełmy (wojsko)', 'Maska przeciwgazowa', 'Tarcze', 'Zbroja']",,,
Przedsiębiorstwo wojskowe,"['Wojskowe warsztaty naprawcze', 'Wojskowe zakłady naprawcze', 'Wojskowe zakłady remontowe', 'Zakłady wojskowe']",['Przedsiębiorstwo'],['Wojsko'],,,,
Lotnictwo policyjne,['Lotnictwo służb porządku publicznego'],"['Lotnictwo cywilne', 'Policja']",,,,,
Portierzy,"['Odźwierni', 'Hotel doorkeepers']",['Pracownicy ochrony mienia i osób'],,,,,
Rozpoznanie powietrzne,"['Rekonesans lotniczy', 'Rozpoznanie lotnicze', 'Zwiad lotniczy']",['Rozpoznanie (wojsko)'],"['Lotnictwo towarzyszące', 'Samoloty rozpoznawcze']",,,,
Rozpoznanie morskie,,['Rozpoznanie (wojsko)'],['Marynarka wojenna'],,,,
Polityka obronna,"['Polityka wojskowa', 'Defence policy', 'Military policy']",,"['Bezpieczeństwo militarne państwa', 'Integracja wojskowa', 'Polityka bezpieczeństwa', 'System obronny państwa']",,,,
Northrop B-2 Bomber (samolot bombowy),"['Northrop B-2 Bomber', 'B-2 Bomber', 'Bomber', 'Northrop B-2', 'Spirit', 'Stealth bomber']",['Samoloty bombowe'],,,,,
Northrop F-5 Freedom Fighter,"['F-5 Freedom Fighter', 'F-5 Tiger II', 'Freedom Fighter', 'Northrop F-5', 'Northrop F-5 Freedom Fighter/Tiger II', 'Northrop F-5 Tiger II', 'Tiger II']",['Samoloty myśliwskie'],,,,,
McDonnell Douglas F-15 Eagle,"['Eagle', 'F-15 Eagle', 'McDonnell Douglas Eagle']",['Samoloty myśliwskie'],,,,,
Piper L-4 Cub,"['Grasshopper', 'L-4 Cub', 'Piper Cub L-4 Grasshopper', 'Piper L-4 Grasshopper']",['Samoloty wojskowe wielozadaniowe'],,,,,
Westland Lysander,['Lysander'],['Samoloty wojskowe wielozadaniowe'],,,,,
Fairey Swordfish (samolot bombowy),"['Fairey Swordfish', 'Swordfish']","['Dwupłatowce', 'Samoloty bombowe']",,,,,
Lockheed F-117A Nighthawk (samolot bombowy),"['Lockheed F-117A Nighthawk', 'F-117A Nighthawk', 'Nighthawk']",['Samoloty bombowe'],,,,,
Lockheed SR-71 Blackbird (samolot rozpoznawczy),"['Lockheed SR-71 Blackbird', 'Blackbird', 'SR-71 Blackbird']",['Samoloty rozpoznawcze'],,,,,
Harrier (samoloty),,"['Pionowzloty', 'Samoloty wojskowe']",,['McDonell-Douglas AV-8B Harrier II'],,,
Republic P-35 (samolot myśliwski),"['Republic P-35', 'P-35', 'SEV-1XP', 'SEV-2XP', 'Seversky P-35']",['Samoloty myśliwskie'],,,,,
Fairchild A-10 Thunderbolt II,"['A-10 Thunderbolt II', 'A-10/OA-10 Thunderbolt II', 'A-10 Warthog', 'Fairchild A-10/OA-10 Thunderbolt II', 'Fairchild A-10 Warthog', 'Thunderbolt II', 'Warthog']",['Samoloty szturmowe'],,,,,
Jakowlew Jak-11 (samolot wojskowy),"['C-11 (samolot wojskowy)', 'Jakovlev Jak-11 (samolot wojskowy)', 'Jak-11 (samolot wojskowy)', 'Yak-11 (samolot wojskowy)', 'Yakovlev Yak-11 (samolot wojskowy)']",['Samoloty wojskowe szkolne'],,,,,
EADS-CASA C-295 (samolot wojskowy),"['C-295 (samolot wojskowy)', 'CASA C-295 (samolot wojskowy)']",['Samoloty wojskowe'],,,,,
McDonell-Douglas AV-8B Harrier II,"['AV-8B Harrier II', 'Harrier II']",['Harrier (samoloty)'],,,,,
Morane-Saulnier MS 500 Criquet,"['Criquet', 'MS 500 Criquet']",['Samoloty wojskowe wielozadaniowe'],['Fieseler Fi 156 Storch'],,,,
Fieseler Fi 156 Storch,"['Fi 156 Storch', 'Fieseler 156 Storch', 'Storch']",['Samoloty wojskowe wielozadaniowe'],['Morane-Saulnier MS 500 Criquet'],,,,
Nakajima B5N Kate (samolot bombowy),"['Nakajima B5N Kate', 'B5N Kate']",['Samoloty bombowe'],,,,,
Aichi D3A Val (samolot bombowy),"['Aichi D3A Val', 'D3A Val', 'Val']",['Samoloty bombowe'],,,,,
Dornier Do 17 Fliegender Bleistift (samolot bombowy),"['Dornier Do 17 Fliegender Bleistift', 'Do 17', 'Dornier 17', 'Fliegender Bleistift']",['Samoloty bombowe'],,,,,
SPAD (samoloty),,['Samoloty myśliwskie'],,['Blèriot SPAD'],,,
Brewster F2A Buffalo,"['Buffalo (samoloty)', 'F2A Buffalo']",['Samoloty myśliwskie'],,,,,
Avia B-534,"['Avia Bk-534', 'B-534', 'Bk-534']",['Samoloty myśliwskie'],,,,,
Breslau (okręt),,['Okręty wojenne'],,,,,
Goeben (okręt),,['Okręty wojenne'],,,,,
Eldridge (niszczyciel eskortowy),"['DE 173 (niszczyciel eskortowy)', 'USS Eldridge (niszczyciel eskortowy)']",['Niszczyciele eskortowe'],,,,,
Pracownicy ochrony mienia i osób,"['Agenci ochrony', 'Agenci ochrony mienia i osób', 'Bodyguards', 'Detektywi sklepowi', 'Dyżurni centrów monitorowania alarmów', 'Konwojenci wartości pieniężnych', 'Ochroniarze', 'Operatorzy stacji monitorowania', 'Operatorzy telewizji przemysłowej', 'Pracownicy nadzoru systemów alarmowych', 'Straż przemysłowa', 'Technicy ochrony fizycznej osób i mienia', 'Wartownicy straży bankowej', 'Wartownicy straży przemysłowej']",['Zawód'],"['Kontrola bezpieczeństwa', 'Agencje ochrony osób i mienia', 'Ochrona mienia', 'Ochrona osób', 'Specjalistyczne uzbrojone formacje ochronne (SUFO)']","['Monterzy urządzeń zabezpieczeń technicznych osób i mienia', 'Portierzy', 'Pracownicy obsługi monitoringu', 'Pracownicy ochrony fizycznej bez licencji']",,,
Race,"['Flary', 'Flares']",['Amunicja'],['Sygnalizacja świetlna'],,,,
Twierdza Modlin (Nowy Dwór Mazowiecki),"['Modlin, Twierdza', 'Novogeorgievsk', 'Nowo Georgiewsk', 'Twierdza Modlin']",['Twierdze i fortyfikacje'],"['Obrona Modlina (1915)', 'Obrona Modlina (1939)', 'Port wojenny Modlin']","['Działobitnia Napoleońska (Nowy Dwór  Mazowiecki ; Twierdza Modlin)', 'Fort III (Pomiechówek ; Twierdza Modlin)']",,,
Avia BH-33 (samolot myśliwski),"['Avia BH-33L', 'BH-33', 'BH-33L', 'PWS-A']","['PWS (samoloty)', 'Samoloty myśliwskie']",,,,,
Short Stirling (samolot bombowy),"['Short Stirling', 'Striling (samolot)']",['Samoloty bombowe'],,,,,
Lockheed-Martin F 16 Fighting Falcon,"['F-16 Fighting Falcon', 'Fighting Falcon', 'General Dynamics F 16 Fighting Falcon']",['Samoloty wojskowe wielozadaniowe'],,,,,
Operacje połączone (wojsko),"['Działania połączone (wojsko)', 'Joint operations', 'Operacje kombinowane', 'Połączone działania sił zbrojnych']",['Operacje wojenne'],"['Operacje desantowe', 'Operacje lądowe', 'Operacje morskie', 'Operacje powietrzne']",,,,
Kursk (okręt wojenny),['K-159'],['Okręty podwodne'],,,,,
Kordelas,,"['Broń myśliwska', 'Broń sieczna', 'Nóż myśliwski']",,,,,
Wojska kolejowe,,['Wojsko'],"['Inżynieria wojskowa', 'Kolejnictwo']",,,,
Siekiera,"['Siekiery', 'Topory', 'Topór', 'Axes']",['Narzędzia'],['Broń sieczna'],,,,
PZL M28 (samolot wojskowy),"['Bryza (samoloty)', 'M28', 'PZL M28', 'PZL M28 Bryza 1']",['Samoloty wojskowe'],,,,,
Policja konna,,['Policja'],,,,,
